id,cities,registration_date,start_date,days_reg_to_start,is_prospective,start_2006_2018,iv_status,recruitment_status,iv_interventional,study_type
NCT02797626,Düsseldorf,2016-06-08,2016-06-01T00:00:00Z,-7,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02798562,Aachen,2016-06-03,2017-01-01T00:00:00Z,212,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02799030,Regensburg,2016-05-26,2006-10-01T00:00:00Z,-3525,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02799082,Regensburg,2016-05-27,2007-12-01T00:00:00Z,-3100,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02801513,Berlin,2016-06-11,2013-09-01T00:00:00Z,-1014,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02802254,Hamburg,2016-06-12,2016-08-01T00:00:00Z,50,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02802631,Köln,2016-06-09,2017-04-20T00:00:00Z,315,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02803177,Frankfurt,2016-06-07,2016-07-02T00:00:00Z,25,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02806583,Leipzig,2016-06-09,2015-11-01T00:00:00Z,-221,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02808052,Köln,2016-06-17,2017-05-29T00:00:00Z,346,TRUE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02808793,Berlin,2016-06-16,2016-06-01T00:00:00Z,-15,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02810535,Frankfurt,2016-05-31,2016-05-01T00:00:00Z,-30,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02811016,Heidelberg,2016-06-14,2016-06-01T00:00:00Z,-13,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02812940,Köln,2016-06-19,2016-04-01T00:00:00Z,-79,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02814097,Berlin,2016-06-08,2016-09-02T00:00:00Z,86,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02816268,TU München,2016-06-24,2012-09-01T00:00:00Z,-1392,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02818959,Hamburg,2016-06-24,2013-12-01T00:00:00Z,-936,FALSE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02820519,Witten-Herdecke,2016-06-14,2016-06-01T00:00:00Z,-13,TRUE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02820675,Bonn Düsseldorf Greifswald Halle Hannover Leipzig Magdeburg Mannheim TU München,2016-06-29,2015-08-01T00:00:00Z,-333,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02825784,Bonn,2016-06-17,2017-01-06T00:00:00Z,203,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02825797,Köln,2016-06-28,2016-06-01T00:00:00Z,-27,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02825992,Hamburg,2016-07-05,2016-10-17T00:00:00Z,104,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02831023,Heidelberg,2016-07-06,2016-07-01T00:00:00Z,-5,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02832765,Heidelberg,2016-07-12,2016-09-01T00:00:00Z,51,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02832830,Heidelberg,2016-07-12,2016-08-01T00:00:00Z,20,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02834338,Dresden,2016-06-15,2016-07-26T00:00:00Z,41,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02834377,Hamburg,2016-06-01,2016-05-19T00:00:00Z,-13,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02836665,Aachen,2016-07-12,2016-08-01T00:00:00Z,20,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02837055,Hamburg,2016-06-13,2016-04-01T00:00:00Z,-73,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02838004,Heidelberg,2016-07-12,2016-08-01T00:00:00Z,20,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02839993,Berlin,2016-04-05,2016-04-01T00:00:00Z,-4,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02840331,Tübingen,2016-07-13,2017-07-31T00:00:00Z,383,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02840864,Tübingen,2016-07-19,2015-07-01T00:00:00Z,-384,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02842892,Frankfurt,2016-07-18,2016-07-01T00:00:00Z,-17,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02843490,Mainz,2016-07-21,2016-08-05T00:00:00Z,15,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02845791,Dresden Leipzig,2016-05-05,2016-07-01T00:00:00Z,57,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02847260,Dresden Duisburg Hamburg Heidelberg Köln Leipzig LMU München Regensburg Homburg,2016-07-25,2012-04-01T00:00:00Z,-1576,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02847754,Heidelberg,2016-07-12,2016-08-01T00:00:00Z,20,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02848014,Marburg,2016-06-29,2016-07-01T00:00:00Z,2,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02848209,Tübingen,2016-07-25,2016-07-01T00:00:00Z,-24,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02848352,Marburg,2016-06-29,2016-06-01T00:00:00Z,-28,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02850016,Köln,2016-07-26,2017-01-06T00:00:00Z,164,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02850341,Berlin,2016-07-22,2016-07-01T00:00:00Z,-21,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02851108,Heidelberg,2016-06-28,2016-10-01T00:00:00Z,95,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02852083,Regensburg,2016-07-12,2016-01-01T00:00:00Z,-193,FALSE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02854319,TU München,2016-07-28,2016-09-07T00:00:00Z,41,TRUE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02857309,Leipzig,2016-07-20,2014-02-01T00:00:00Z,-900,FALSE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02857660,Erlangen,2016-07-28,2016-08-01T00:00:00Z,4,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02858817,Tübingen,2016-07-28,2016-11-28T00:00:00Z,123,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02861001,Hamburg,2016-06-13,2016-04-01T00:00:00Z,-73,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02861534,Berlin,2016-08-05,2016-09-20T00:00:00Z,46,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02861586,Rostock,2016-07-28,2016-08-17T00:00:00Z,20,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02863471,Tübingen,2016-08-08,2016-01-01T00:00:00Z,-220,FALSE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02863549,LMU München,2016-07-20,2016-07-01T00:00:00Z,-19,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02866110,Mannheim,2016-07-28,2016-10-01T00:00:00Z,65,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02866825,Jena,2016-06-17,2016-05-01T00:00:00Z,-47,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02867449,Leipzig Marburg,2016-06-30,2016-06-01T00:00:00Z,-29,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02867969,Tübingen,2016-08-11,2016-08-01T00:00:00Z,-10,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02868320,Hannover,2016-08-09,2014-04-01T00:00:00Z,-861,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
